sub-ID roi-ID volOverlap volFSroi quotient
1049 MNIbin_left-Caudate.nii.gz 0 4809 0
1050 MNIbin_left-Caudate.nii.gz 0 4809 0
1051 MNIbin_left-Caudate.nii.gz 0 4809 0
1052 MNIbin_left-Caudate.nii.gz 0 4809 0
1053 MNIbin_left-Caudate.nii.gz 0 4809 0
1054 MNIbin_left-Caudate.nii.gz 0 4809 0
1055 MNIbin_left-Caudate.nii.gz 0 4809 0
1056 MNIbin_left-Caudate.nii.gz 0 4809 0
1057 MNIbin_left-Caudate.nii.gz 0 4809 0
1058 MNIbin_left-Caudate.nii.gz 0 4809 0
1059 MNIbin_left-Caudate.nii.gz 3151 4809 0.65523
1060 MNIbin_left-Caudate.nii.gz 0 4809 0
1002 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1003 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1004 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1005 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1006 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1007 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1008 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1009 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1010 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1011 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1012 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1013 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1014 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1015 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1016 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1017 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1018 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1019 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1020 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1021 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1022 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1023 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1024 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1025 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1026 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1027 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1028 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1029 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1030 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1031 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1032 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1033 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1034 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1035 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1036 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1037 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1038 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1039 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1040 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1041 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1042 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1043 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1044 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1045 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1046 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1047 MNIbin_left-Hippocampus.nii.gz 1534 5131 0.298967
1048 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1049 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1050 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1051 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1052 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1053 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1054 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1055 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1056 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1057 MNIbin_left-Hippocampus.nii.gz 433 5131 0.084389
1058 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1059 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1060 MNIbin_left-Hippocampus.nii.gz 0 5131 0
1002 MNIbin_left-Pallidum.nii.gz 0 2539 0
1003 MNIbin_left-Pallidum.nii.gz 0 2539 0
1004 MNIbin_left-Pallidum.nii.gz 0 2539 0
1005 MNIbin_left-Pallidum.nii.gz 0 2539 0
1006 MNIbin_left-Pallidum.nii.gz 0 2539 0
1007 MNIbin_left-Pallidum.nii.gz 0 2539 0
1008 MNIbin_left-Pallidum.nii.gz 0 2539 0
1009 MNIbin_left-Pallidum.nii.gz 0 2539 0
1010 MNIbin_left-Pallidum.nii.gz 0 2539 0
1011 MNIbin_left-Pallidum.nii.gz 0 2539 0
1012 MNIbin_left-Pallidum.nii.gz 0 2539 0
1013 MNIbin_left-Pallidum.nii.gz 0 2539 0
1014 MNIbin_left-Pallidum.nii.gz 0 2539 0
1015 MNIbin_left-Pallidum.nii.gz 0 2539 0
1016 MNIbin_left-Pallidum.nii.gz 0 2539 0
1017 MNIbin_left-Pallidum.nii.gz 0 2539 0
1018 MNIbin_left-Pallidum.nii.gz 0 2539 0
1019 MNIbin_left-Pallidum.nii.gz 0 2539 0
1020 MNIbin_left-Pallidum.nii.gz 0 2539 0
1021 MNIbin_left-Pallidum.nii.gz 0 2539 0
1022 MNIbin_left-Pallidum.nii.gz 0 2539 0
1023 MNIbin_left-Pallidum.nii.gz 0 2539 0
1024 MNIbin_left-Pallidum.nii.gz 0 2539 0
1025 MNIbin_left-Pallidum.nii.gz 0 2539 0
1026 MNIbin_left-Pallidum.nii.gz 0 2539 0
1027 MNIbin_left-Pallidum.nii.gz 30 2539 0.0118157
1028 MNIbin_left-Pallidum.nii.gz 0 2539 0
1029 MNIbin_left-Pallidum.nii.gz 0 2539 0
1030 MNIbin_left-Pallidum.nii.gz 0 2539 0
1031 MNIbin_left-Pallidum.nii.gz 0 2539 0
1032 MNIbin_left-Pallidum.nii.gz 0 2539 0
1033 MNIbin_left-Pallidum.nii.gz 0 2539 0
1034 MNIbin_left-Pallidum.nii.gz 0 2539 0
1035 MNIbin_left-Pallidum.nii.gz 0 2539 0
1036 MNIbin_left-Pallidum.nii.gz 4 2539 0.00157542
1037 MNIbin_left-Pallidum.nii.gz 0 2539 0
1038 MNIbin_left-Pallidum.nii.gz 0 2539 0
1039 MNIbin_left-Pallidum.nii.gz 0 2539 0
1040 MNIbin_left-Pallidum.nii.gz 35 2539 0.013785
1041 MNIbin_left-Pallidum.nii.gz 0 2539 0
1042 MNIbin_left-Pallidum.nii.gz 0 2539 0
1043 MNIbin_left-Pallidum.nii.gz 0 2539 0
1044 MNIbin_left-Pallidum.nii.gz 0 2539 0
1045 MNIbin_left-Pallidum.nii.gz 0 2539 0
1046 MNIbin_left-Pallidum.nii.gz 0 2539 0
1047 MNIbin_left-Pallidum.nii.gz 0 2539 0
1048 MNIbin_left-Pallidum.nii.gz 0 2539 0
1049 MNIbin_left-Pallidum.nii.gz 0 2539 0
1050 MNIbin_left-Pallidum.nii.gz 0 2539 0
1051 MNIbin_left-Pallidum.nii.gz 0 2539 0
1052 MNIbin_left-Pallidum.nii.gz 0 2539 0
1053 MNIbin_left-Pallidum.nii.gz 0 2539 0
1054 MNIbin_left-Pallidum.nii.gz 0 2539 0
1055 MNIbin_left-Pallidum.nii.gz 0 2539 0
1056 MNIbin_left-Pallidum.nii.gz 0 2539 0
1057 MNIbin_left-Pallidum.nii.gz 0 2539 0
1058 MNIbin_left-Pallidum.nii.gz 0 2539 0
1059 MNIbin_left-Pallidum.nii.gz 843 2539 0.33202
1060 MNIbin_left-Pallidum.nii.gz 0 2539 0
1002 MNIbin_left-Putamen.nii.gz 0 7176 0
1003 MNIbin_left-Putamen.nii.gz 0 7176 0
1004 MNIbin_left-Putamen.nii.gz 0 7176 0
1005 MNIbin_left-Putamen.nii.gz 0 7176 0
1006 MNIbin_left-Putamen.nii.gz 0 7176 0
1007 MNIbin_left-Putamen.nii.gz 0 7176 0
1008 MNIbin_left-Putamen.nii.gz 0 7176 0
1009 MNIbin_left-Putamen.nii.gz 0 7176 0
1010 MNIbin_left-Putamen.nii.gz 0 7176 0
1011 MNIbin_left-Putamen.nii.gz 0 7176 0
1012 MNIbin_left-Putamen.nii.gz 0 7176 0
1013 MNIbin_left-Putamen.nii.gz 0 7176 0
1014 MNIbin_left-Putamen.nii.gz 0 7176 0
1015 MNIbin_left-Putamen.nii.gz 0 7176 0
1016 MNIbin_left-Putamen.nii.gz 0 7176 0
1017 MNIbin_left-Putamen.nii.gz 0 7176 0
1018 MNIbin_left-Putamen.nii.gz 0 7176 0
